Min,Max,Mean,Std,Var,Skew,Kurtosis,RMS,Crest Factor,Shape Factor,Peak Value,Peak to Peak Value,Impulse Factor,Zero Crossing Rate,Fault
-2.2931,2.36904,0.00854,0.76247,0.58137,0.05417,0.15214,0.00854,277.49783,0.01499,2.36904,4.66214,4.16019,0.10875,Inner_Ring
-2.43955,2.64462,0.01081,0.70667,0.49939,0.09202,0.61442,0.01081,244.5456,0.01993,2.64462,5.08417,4.87362,0.10753,Inner_Ring
-2.58746,2.68196,0.00603,0.69654,0.48517,0.05456,1.14844,0.00603,445.12876,0.01198,2.68196,5.26942,5.33083,0.11118,Inner_Ring
-3.13716,3.41775,0.0145,0.85414,0.72955,0.08097,0.89554,0.0145,235.69159,0.02215,3.41775,6.5549,5.22151,0.10753,Inner_Ring
-2.87034,2.76979,0.00384,0.78338,0.61368,0.05333,1.19655,0.00384,747.85569,0.00664,2.87034,5.64013,4.96659,0.10693,Inner_Ring
-2.04506,2.30416,0.00459,0.70694,0.49977,0.06564,-0.17342,0.00459,502.40618,0.00847,2.30416,4.34921,4.25425,0.10936,Inner_Ring
-2.88515,3.04912,0.01379,0.78847,0.62168,0.07463,0.8481,0.01379,221.08416,0.02361,3.04912,5.93427,5.22016,0.10753,Inner_Ring
-2.61374,2.58767,0.00347,0.80421,0.64675,0.03536,0.22465,0.00347,752.90183,0.00571,2.61374,5.20141,4.29623,0.10571,Inner_Ring
-2.84176,3.25044,0.01057,0.78138,0.61055,0.06115,0.6695,0.01057,307.42144,0.01753,3.25044,6.0922,5.38918,0.10753,Inner_Ring
-3.38979,3.33618,0.00723,0.74311,0.55221,0.03277,3.56055,0.00723,468.70746,0.01416,3.38979,6.72597,6.63471,0.10875,Inner_Ring
-1.76343,1.84562,0.00663,0.69478,0.48272,0.05104,-0.38316,0.00663,278.38199,0.0121,1.84562,3.60905,3.36931,0.10814,Inner_Ring
-2.50484,2.67674,0.01159,0.70829,0.50168,0.0524,0.6952,0.01159,230.91619,0.02165,2.67674,5.18159,4.99864,0.10814,Inner_Ring
-2.94961,2.92228,0.0098,0.76778,0.58948,0.05483,1.31966,0.0098,301.02434,0.01789,2.94961,5.8719,5.38524,0.10875,Inner_Ring
-2.73119,2.93021,0.01014,0.78926,0.62294,0.05949,0.03284,0.01014,288.96394,0.01587,2.93021,5.6614,4.58534,0.10632,Inner_Ring
